representative_row,cluster_key,primary_dimension,article_count,member_rows,date_quality_status,date_quality_policy,date_quality_source_row,date_quality_evidence_rows,sources,title,url
1,,tourism_events,1,1,canonical_date_missing,research_only,1,1,Google News,Mais de 70% dos quartos de hotel do Rio estão reservados para o carnaval - Portal ABC do ABC,https://news.google.com/rss/articles/CBMiogFBVV95cUxNSUNQWlRiaFhIWlE1clBSTHdwSGhSQUtZUkkyZi0zel9rWDlDZVFTdVV0ZFhWbFBaU1h0YkMxeVlmOW5QMWNRdF8wd3lmWWt1RUgtSVZSLVVXa3JyLXI3MHFPU1BNdTZYaTc4SkM4eUd2OUFmU3A1SmNVZG9qZFFOTllqSUt1QThoY1R4ZmF0aUhjeW5ndDlFMlNVbmRTS3Z0UlE?oc=5
2,,tourism_events,1,2,same_day,count_current_period,2,2,Google News,Efeito 'loba': ocupação hoteleira na Zona Sul atinge média de 80% dez dias antes do show de Shakira - O Globo,https://news.google.com/rss/articles/CBMi7AFBVV95cUxNdVpyR25XcEwyLVBfNHhKUlhDY3VIWXRQMEd5OUxaZnRUMS1vU0xrRm5paFZpbnY0RDM3NkwtQVBDR0dpT0g1NXB1ZlNqd1RiYXM0SFpoX1NDcmJqUDFQSkpvVF9vU1laaEpyTGt1VDg1X3ROalpWejduRGZ4ZzBQb2tId0VPNHFJU2pMQ0gwS2tBSXhGLVFDOEYyYzFqUHpWX3g1aEVjSUx5cnNOYUJtdENNVUNmTjMxU3U3TVhSNHQwSTJoWTJKZnNqX2NPRjVTbFFFcC0taDd4VHdtR0trb0NvTkd3VVZ4Z3ZDRtIB-wFBVV95cUxOWGt5NzQ2c1lKa1NQRU50ZGhUWU90OUpaX2UtM1NEOFNQOVRyUkJqbjB6d211eXY3NTNpX2lIUkM0YVdXNktiMnd3aXdQM0tkT2Y2MFliUm1MSUxjYXVQSFhTam55VDlkLTZDTHVVV3lRYlB4MmFMd0dHSC1jblQzY3E4d0NqWGRXZU42bF9vdm10ZVd2UE5BVG0wTEVZOFFyNVByNnA5SXJCNlNUOXdiVFA4RlFja1dHNlE0T2NzdzVzSm1aS1JtTjFpQjlJSXFqcWZqeTdTMzNBUkFPWXJrc1YwZV90UzRZdmlzSm5HZ3ZmMTFjLXVnbVp1NA?oc=5
3,,tourism_events,1,3,same_day,count_current_period,3,3,Google News,Ocupação hoteleira no carnaval supera 99% no Rio de Janeiro - Agência Brasil,https://news.google.com/rss/articles/CBMitwFBVV95cUxQREZ3QVBYX1JHYmxPOW1CS3ZWV2Z0QU40QTFNSXR4RzJWSDdTdFNGMlNGVWdTVUR6RzVEMlo3NUFvMmVWRktId3htR0xubi1weE4xN016TUZnSzlDajItbmwzX1FKcUNnOFNUTEc1MUxDWHdQRG9oOXBVaDBPbHhwSHc4eWFXTWV0N25ROURXdEl6bHNxVUZ4cWNhZGJjZ1c4YTlSOUI5VjJVM1NXNkhSSEppazhDajg?oc=5
4,shakira_copacabana_economic_impact,tourism_events,3,"4, 30, 31",same_day,count_current_period,4,4,Google News,Prefeitura do Rio: show de Shakira deve ter impacto econômico de aproximadamente R$ 800 milhões para a cidade - Prefeitura da Cidade do Rio de Janeiro,https://news.google.com/rss/articles/CBMi7gFBVV95cUxPQnhUbjBVZWhQSU5Na2taQXZMQkNvT0VpQ3dpUFZSMDB5a2dTSXJsRGZsUldCVHRsM0FuNWQxZWNISmNhNzh6ZlBhSkYyTHk4cFVibVdpa0JFSUI5X0NiQV9jWHNSNkVqazJUZHNWTnVSY2pBRm9DalUxWGd1emJPM0ItdURZd3NxRndiZlF3TjRTVlRiWXRRNUJQeDlrZkJ6M3ZEdnFZUEZrSWhCVm9YSGlKOWxubFBXWGNVV0o2SWR3MHl0cUpzLV9vUjRyUllqZVJCT0lCZHpFQXNpcFFWalA2WlBuSkJLNTNFZVJ3?oc=5
5,,tourism_events,1,5,date_mismatch,research_only,5,5,Google News,Show de Lady Gaga em Copacabana promete espetáculo grandioso e forte impacto econômico - InMagazine,https://news.google.com/rss/articles/CBMivwFBVV95cUxPc1lUMFJHeExRNUxyQXNmdGFxMS1oaGtQRVp6dDBpTzR3cnBqaWp0UEJCRmNKZkhRWVhjSHFWUkVleHZCbHFRX0tVbkFQYnRFQ3I0WDNQOExCVGVxWGFkTW9URWRubEFnTlQxb1JycHE4TEI4b2R1QUlJaTU3dkVIVnVsSi1jdGdkcVZwRWdlUkROd2hySVNfZzR2dmJYR2RaVmZ2UjdZbjJwcjl3RzZQcVFuMWdfTHh1V0M2aXE5UdIBxAFBVV95cUxNYmJ2TXVfcVhGUWVGYmFQT1dFTHp0cnpibGQtLUpmOU5zQ3Q1a0JNVEdnUVB2MkpFRmxvNUpnUGFyaGQ0RGhCczY5b2xtZHp5LWJSYnB2ajRBLWZhTl83Y044c2gwSnVOWXRvMjhFejFfTTViV1RhT1lsdmtfYWJGWnIxZEZGNGJ1Y0RUNHJSTU1zZUd0VkswcTl0SlNWTHV2ZW4tVGxscGtKcnczTkE0eWI3eG1aOVhudWdoQmMxNm0za2dn?oc=5
6,,tourism_events,1,6,same_day,count_current_period,6,6,Google News,"Rio de Janeiro espera receber 3,5 milhões de visitantes durante o outono - Panrotas",https://news.google.com/rss/articles/CBMi0gFBVV95cUxOaUV5RFhTQnNOUDNDalNmT0REMG05Umc4bk9qR19YQ3dWM1RxUkZ4UzVnWG9QaWdCYmY5VkdhckVQanB2bHBoU3pXRlRpcHk2MVRHS20yY0xMVk9NejlibF9HOGgyTFN4em9EbTdHN2hreUNJbzI1ZUY5RmhRb0RvWEd2NWFtbExYYTNCQ1AxaDlFN19KUF91MU9HSjA2LWtOeFZnWlRmdGtPdEUwM3FkcW50RENtSENMcXZQUEtUTzB5LXJ4cnRiZnRkTUFzbjc2dnc?oc=5
7,,commerce_services,1,7,same_day,count_current_period,7,7,Google News,Prefeitura do Rio reorganiza ambulantes e libera calçadas no entorno de hospital público em Jacarepaguá - Diário do Rio,https://news.google.com/rss/articles/CBMiqwFBVV95cUxONUxXRkFjajZZRDNfSDRFeTU2VEFyRGNFWDFaUXkzeEpfc1ZYUGtmR3R4dU1tYzRkMGEzeDV1RUg0UzZlVWdUQlEwN1dmTnVBSzlpTk5Ja1EtRDlhWnBSNkVVSFdwRXdoUU1PSENBSWl5SG85T2M4VV9HNThQZEpmd2prZGRZd19mVklkSi1GdndOdkVtYmNZeVMwaVpJRjJ0RzBYSnI3MWM0dUE?oc=5
8,mercado_popular_uruguaiana,commerce_services,3,"8, 9, 10",same_day,count_current_period,8,"8, 9, 10",Google News,Prefeitura do Rio lança projeto do novo Mercado Popular da Uruguaiana - Prefeitura da Cidade do Rio de Janeiro,https://news.google.com/rss/articles/CBMipAFBVV95cUxPMXllc2x0WDFOdUxzZ21DLVotTnJsaHRZNGhnTFVLbTBYQTNMOGMzcm9vTHI5elhidVFnTUxFdG5pZ0ZvQlRyUHBRTXg0UkRZbHE2M0VUb2RTeXFqN3g1aktWUzBYREh4TVoxMG5IUjVteFR5djlfOGtXZUVKdW81VjFyNU1HR3pOY3Y5YVphRVJxM1U3OUo0VXlKNExPeHBhMlRkaA?oc=5
11,,jobs_income,1,11,near_date,manual_review_before_counting,11,11,Google News,Prefeitura do Rio de Janeiro: inscrições abertas para 2.867 vagas em novo seletivo - JC Concursos,https://news.google.com/rss/articles/CBMiywFBVV95cUxORG4xRTd1RTJROF9SR0ppTURwZHo1UEx3cjZZVlpzTUVPMFMzUG1hMnl2TndINy1rNXBpM2IzY3dOaDZDUC1LQjFvbFRBa1U5WmJreTNlU2RTUEFwbWFjY2VKY3pEMU1NbTZUU2t6ZXBsNUYxVkhOQl9MVjdxbWlSWmQtNzF4OC05ZFQyMXFGNVk0NVBPTWgtVFFCUDNXYzdJUnRZQXN2T0g4cDBhaGNrOFZfNV91S3VKem5qemNBQ2xoNTZNMTZFeDlxa9IB0AFBVV95cUxON19Cd0dsREQ2LUludElIek4xaTVDSFQtZ3d0QTd3YjUxS2w5RDJBWjFLM0pPeWI2bGlwUGQ5cGd3SEMyTW5PcThBRDdETTlxNFJtd1U1TnllNVlaY1dSTlZaVjN5NF9oZTJCVWpQRFJJYlgxcUZTX0lzYkZ4OWdZeXZXRUw5bHJoaU15MTQ5V19WUE9mSmFzM0V1NkE1ZW1FTVhtcXNqRExZTktvS2NDOEdpT2NLLU9meE5HV05QV0RNU3g1aWdKb3N6NVVZcFdn?oc=5
12,,jobs_income,1,12,same_day,count_current_period,12,12,Google News,Rio tem 2.867 vagas de emprego abertas nesta semana - Diário do Rio,https://news.google.com/rss/articles/CBMiggFBVV95cUxNN1BCY1hDQVVwUWFkYmdvQXhqbXlhRFNRaDlKQV91YnlILTUwVjZBTW82UkFaaURUdm9jNkpKSGdfd2FEbUVISEU3UzBJZzdYS1ZLdmpzc1lleURZa2hNREdlVGNmSTJzWW9HS0VXbFNtQXY1RVVvcXFlNEhlam1CV0ln?oc=5
